name,code,description,make,model_number,unit_price,minimum_stock,current_quantity
Circuit Breaker 32A,CB32A,32 Amp circuit breaker for electrical panels,Schneider Electric,IC60N 32A,450.00,10,25
MCB 16A,MCB16A,16 Amp miniature circuit breaker,ABB,SH201-B16,280.00,15,30
Contact Relay 24V,CR24V,24V DC contact relay for automation,Omron,G2R-1,120.00,20,45
Push Button Red,PBRED,Red emergency stop push button,Schneider Electric,XB4BS542,85.00,8,12
Indicator Light Green,ILGREEN,Green indicator light 24V,ABB,XCS1-11,65.00,12,18
Terminal Block 12P,TB12P,12-pole terminal block for wiring,Weidmuller,TOPJOB S 2.5-TWIN,95.00,6,10
Cable 2.5mm,CB25MM,2.5mm² electrical cable per meter,Finolex,FR PVC 2.5mm²,45.00,50,100
Fuse 10A,FUSE10A,10 Amp fuse for protection,Bussmann,10A 250V,25.00,25,40
Switch Disconnector,SWDISC,Main switch disconnector 63A,Schneider Electric,NG125N3,850.00,5,8
PLC Module,PLCMOD,Programmable logic controller module,Siemens,S7-1200 CPU 1214C,2500.00,3,5 
